,2022-09-25,2023-09-24,2024-09-29,2025-09-28
AccountsAndOtherReceivablesNetCurrent,5643000000,3183000000,3929000000,4315000000
InventoryNet,6341000000,6422000000,6423000000,6526000000
OtherAssetsCurrent,1625000000,1194000000,1579000000,2435000000
AccountsPayableCurrent,3796000000,1912000000,2584000000,2791000000
EmployeeRelatedLiabilitiesCurrent,1486000000,1685000000,1834000000,1839000000
DeferredRevenueCurrent,369000000,293000000,297000000,358000000
OtherLiabilitiesCurrent,3689000000,4491000000,4425000000,4156000000
AccruedIncomeTaxesCurrent,634000000,1717000000,1080000000,1007000000
