,2022-09-25,2023-09-24,2024-09-29,2025-09-28
revenue,44200000000.0,35820000000.0,38962000000.0,44284000000.0
operating_income,15860000000.0,7788000000.0,10071000000.0,12355000000.0
da,1782000000.0,1818000000.0,1711000000.0,1621000000.0
capex,2262000000.0,1450000000.0,1041000000.0,1192000000.0
income_tax,2012000000.0,104000000.0,226000000.0,7122000000.0
pretax_income,14998000000.0,7443000000.0,10336000000.0,12663000000.0
nwc,4903000000.0,4135000000.0,3871000000.0,5139000000.0
liquidity,6382000000.0,11324000000.0,13300000000.0,10155000000.0
